,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
326,13.0,124.0,315.0,L,9.0,20.0,1784.0,Samuel,Sandford,,6.0,30,1782.0,1782.0,44.0,,10.0,25.0,1784.0,1.0,LO 65.185,
327,13.0,124.0,316.0,N,9.0,20.0,1784.0,John,Field,,9.0,10,1780.0,20.0,58.0,6.0,10.0,12.0,1784.0,1.0,LO 30.108,
328,13.0,124.0,317.0,P,9.0,20.0,1784.0,John,Field,,10.0,31,1780.0,26.0,74.0,6.0,10.0,12.0,1784.0,1.0,LO 30.108,
329,13.0,124.0,318.0,R,9.0,20.0,1784.0,John,Field,,11.0,9,1784.0,24.0,22.0,4.0,10.0,12.0,1784.0,1.0,LO 30.108,
330,13.0,124.0,319.0,I,11.0,2.0,1784.0,Standfast,Wyatt,,4.0,16,1782.0,5.0,,,11.0,16.0,1784.0,1.0,No. 21,
331,13.0,124.0,320.0,H,11.0,2.0,1784.0,Elisha,Mowrey,,4.0,16,1782.0,1.0,22.0,4.0,2.0,23.0,1785.0,1.0,RO,
332,13.0,124.0,321.0,L,11.0,2.0,1784.0,Elisha,Mowrey,,4.0,16,1782.0,5.0,,,2.0,23.0,1785.0,1.0,RO,
333,13.0,124.0,322.0,P,11.0,2.0,1784.0,Elisha,Mowrey,,4.0,16,1782.0,7.0,45.0,,2.0,23.0,1785.0,1.0,RO,
334,13.0,124.0,323.0,R,11.0,2.0,1784.0,Elisha,Mowrey,,4.0,16,1782.0,5.0,,,2.0,23.0,1785.0,1.0,558,
335,13.0,124.0,324.0,G,11.0,2.0,1784.0,Elisha,Mowrey,,4.0,16,1782.0,5.0,,,2.0,23.0,1785.0,1.0,RO,
336,13.0,124.0,325.0,D,11.0,2.0,1784.0,Wait,Brown,,6.0,30,1780.0,53.0,12.0,4.0,11.0,9.0,1784.0,,,
337,13.0,124.0,326.0,L,11.0,2.0,1784.0,Samuel,Freebody,,4.0,8,1780.0,108.0,,,11.0,3.0,1784.0,1.0,LO 57.169,
338,13.0,124.0,327.0,I,11.0,2.0,1784.0,Clark,Nightingale,,2.0,28,1777.0,330.0,,,11.0,20.0,1784.0,1.0,LO 57.144,Note not sure
339,13.0,124.0,328.0,H,11.0,2.0,1784.0,Jesse,Whipple,,8.0,21,1780.0,2.0,77.0,1.0,12.0,24.0,1784.0,1.0,RO,
340,13.0,124.0,329.0,B,11.0,3.0,1784.0,Daniel,Pratt,,1.0,10,1782.0,201.0,15.0,,12.0,1.0,1784.0,1.0,806,
341,13.0,124.0,330.0,A,11.0,3.0,1784.0,Daniel,Pratt,,1.0,10,1782.0,201.0,15.0,,12.0,1.0,1784.0,1.0,806,
342,13.0,124.0,331.0,A,11.0,3.0,1784.0,Joseph,Sisson,,8.0,31,1780.0,54.0,,,3.0,31.0,1785.0,1.0,LO 92.223,
343,13.0,124.0,332.0,B,11.0,3.0,1784.0,John,Gardner,,12.0,31,1781.0,2222.0,30.0,,1.0,18.0,1785.0,1.0,1174,Note not sure
